link_type,node_a,node_b,window_start_s,window_end_s
orbiter_earth,orbiter_1,earth,620280,624840
orbiter_earth,orbiter_1,earth,627360,631920
orbiter_earth,orbiter_1,earth,634440,639000
orbiter_earth,orbiter_1,earth,641520,646080
orbiter_earth,orbiter_1,earth,648600,653160
orbiter_earth,orbiter_1,earth,655680,660240
orbiter_earth,orbiter_1,earth,662760,667320
orbiter_earth,orbiter_1,earth,669840,674400
orbiter_earth,orbiter_1,earth,676920,681480
orbiter_earth,orbiter_1,earth,684030,688560
orbiter_earth,orbiter_1,earth,691110,695670
orbiter_earth,orbiter_1,earth,698190,702750
orbiter_earth,orbiter_1,earth,705270,709830
orbiter_earth,orbiter_1,earth,712350,716910
orbiter_earth,orbiter_1,earth,719430,723990
orbiter_earth,orbiter_1,earth,726510,731070
orbiter_earth,orbiter_1,earth,733590,738150
orbiter_earth,orbiter_1,earth,740670,745230
orbiter_earth,orbiter_1,earth,747750,752310
orbiter_earth,orbiter_1,earth,754830,759390
orbiter_earth,orbiter_1,earth,761910,766470
orbiter_earth,orbiter_1,earth,769020,773550
orbiter_earth,orbiter_1,earth,776100,780660
orbiter_earth,orbiter_1,earth,783180,787740
orbiter_earth,orbiter_1,earth,790260,794820
orbiter_earth,orbiter_1,earth,797340,801900
orbiter_earth,orbiter_1,earth,804420,808980
orbiter_earth,orbiter_1,earth,811500,816060
orbiter_earth,orbiter_1,earth,818580,823140
orbiter_earth,orbiter_1,earth,825660,830220
orbiter_earth,orbiter_1,earth,832740,837300
orbiter_earth,orbiter_1,earth,839820,844380
orbiter_earth,orbiter_1,earth,846900,851460
orbiter_earth,orbiter_1,earth,854010,858540
orbiter_earth,orbiter_1,earth,861090,865650
orbiter_earth,orbiter_1,earth,868170,872730
orbiter_earth,orbiter_1,earth,875250,879810
orbiter_earth,orbiter_1,earth,882330,886890
orbiter_earth,orbiter_1,earth,889410,893970
orbiter_earth,orbiter_1,earth,896490,901050
orbiter_earth,orbiter_1,earth,903570,908130
orbiter_earth,orbiter_1,earth,910650,915210
orbiter_earth,orbiter_1,earth,917730,922290
orbiter_earth,orbiter_1,earth,924810,929370
orbiter_earth,orbiter_1,earth,931890,936450
orbiter_earth,orbiter_1,earth,939000,943530
orbiter_earth,orbiter_1,earth,946080,950640
orbiter_earth,orbiter_1,earth,953160,957720
orbiter_earth,orbiter_1,earth,960240,964800
orbiter_earth,orbiter_1,earth,967320,971880
orbiter_earth,orbiter_1,earth,974400,978960
orbiter_earth,orbiter_1,earth,981480,986040
orbiter_earth,orbiter_1,earth,988560,993120
orbiter_earth,orbiter_1,earth,995640,1000200
orbiter_earth,orbiter_1,earth,1002720,1007280
orbiter_earth,orbiter_1,earth,1009800,1014360
orbiter_earth,orbiter_1,earth,1016880,1021440
orbiter_earth,orbiter_1,earth,1023990,1028520
orbiter_earth,orbiter_1,earth,1031070,1035630
orbiter_earth,orbiter_1,earth,1038150,1042710
orbiter_earth,orbiter_1,earth,1045230,1049790
orbiter_earth,orbiter_1,earth,1052310,1056870
orbiter_earth,orbiter_1,earth,1059390,1063950
orbiter_earth,orbiter_1,earth,1066470,1071030
orbiter_earth,orbiter_1,earth,1073550,1078110
orbiter_earth,orbiter_1,earth,1080630,1085190
orbiter_earth,orbiter_1,earth,1087710,1092270
